geonames_id,district_name,province,latitude,longitude,elevation_m,geonames_modified
11744839,Shigar,Gilgit-Baltistan,35.76145,75.75074,5371,2019-11-28
1183615,Skardu,Gilgit-Baltistan,35.40116,75.62633,4452,2023-10-27
1162015,Islamabad,Islamabad Capital Territory,33.71039,73.13382,527,2026-04-16
1185055,Abbottabad,Khyber Pakhtunkhwa,34.09497,73.26043,1074,2025-02-03
1183781,Bajaur,Khyber Pakhtunkhwa,34.75732,71.49067,924,2023-10-26
1183459,Bannu,Khyber Pakhtunkhwa,32.90357,70.63676,342,2025-02-03
8224052,Battagram,Khyber Pakhtunkhwa,34.68051,73.00535,1071,2025-02-04
1182146,Buner,Khyber Pakhtunkhwa,34.44301,72.49933,728,2025-02-04
7419051,Charsadda,Khyber Pakhtunkhwa,34.25102,71.69037,325,2025-02-04
1181064,Chitral,Khyber Pakhtunkhwa,36.25829,72.24302,2374,2023-10-26
1180282,Dera Ismail Khan,Khyber Pakhtunkhwa,31.85963,70.64879,194,2025-02-03
7419048,Hangu,Khyber Pakhtunkhwa,33.44718,70.88772,996,2022-03-30
7419054,Haripur,Khyber Pakhtunkhwa,33.9459,72.91146,527,2025-02-03
7419047,Karak,Khyber Pakhtunkhwa,33.13609,71.08336,680,2025-02-04
1173641,Khyber,Khyber Pakhtunkhwa,33.96113,71.0577,1357,2019-11-28
1173489,Kohat,Khyber Pakhtunkhwa,33.44911,71.54394,424,2025-02-03
1172574,Kurram,Khyber Pakhtunkhwa,33.71017,70.3401,1197,2022-03-30
7419039,Lakki Marwat,Khyber Pakhtunkhwa,32.59921,70.85119,275,2025-02-04
7419056,Lower Dir,Khyber Pakhtunkhwa,34.85194,71.85335,757,2025-02-04
12105028,Lower Kohistan,Khyber Pakhtunkhwa,35.11028,73.00495,774,2025-02-04
1171388,Malakand,Khyber Pakhtunkhwa,34.53635,71.8847,531,2012-01-17
1170950,Mansehra,Khyber Pakhtunkhwa,34.64827,73.4647,2021,2025-02-03
1170875,Mardan,Khyber Pakhtunkhwa,34.30671,72.09042,339,2025-02-03
1170122,Mohmand,Khyber Pakhtunkhwa,34.46386,71.35116,656,2025-02-04
1168875,North Waziristan,Khyber Pakhtunkhwa,32.95087,69.95764,1123,2025-02-03
7419052,Nowshera,Khyber Pakhtunkhwa,33.92538,71.98092,494,2025-02-04
1168705,Orakzai,Khyber Pakhtunkhwa,33.70777,71.00238,2178,2025-02-03
1168195,Peshawar,Khyber Pakhtunkhwa,33.98512,71.55784,355,2023-10-26
7419053,Shangla,Khyber Pakhtunkhwa,34.68516,72.70139,800,2023-10-26
1164536,South Waziristan,Khyber Pakhtunkhwa,32.30397,69.68207,1608,2025-02-03
7419055,Swabi,Khyber Pakhtunkhwa,34.14133,72.47665,383,2025-02-04
1164211,Swat,Khyber Pakhtunkhwa,35.2416,72.49933,2586,2025-02-03
7419040,Tank,Khyber Pakhtunkhwa,32.24,70.39256,266,2025-02-03
8061265,Tor Ghar,Khyber Pakhtunkhwa,34.55872,72.85207,1525,2022-03-30
1179754,Upper Dir,Khyber Pakhtunkhwa,35.30879,72.04692,1820,2025-02-03
12105031,Upper Kohistan,Khyber Pakhtunkhwa,35.27377,73.22684,892,2019-12-03
1184248,Attock,Punjab,33.50812,72.33416,389,2025-02-02
1183882,Bahawalnagar,Punjab,29.64106,73.02531,154,2025-02-02
1183876,Bahawalpur,Punjab,28.83993,71.71272,111,2025-02-02
7418966,Bhakkar,Punjab,31.64699,71.43428,173,2025-02-03
7418964,Chakwal,Punjab,32.89779,72.53114,483,2025-02-03
11886901,Chiniot,Punjab,31.72,72.98,188,2025-02-03
1180287,Dera Ghazi Khan,Punjab,30.475,70.40447,528,2023-10-26
1179399,Faisalabad,Punjab,31.23089,73.19753,180,2025-02-02
1177658,Gujranwala,Punjab,32.1885,74.05362,219,2025-02-02
1177651,Gujrat,Punjab,32.70049,74.05447,257,2023-10-26
7418962,Hafizabad,Punjab,32.02191,73.51315,198,2025-02-03
1175906,Jhang,Punjab,31.32804,72.35501,157,2025-02-02
1175862,Jhelum,Punjab,32.8205,73.356,346,2025-02-02
1174623,Kasur,Punjab,31.00695,74.13534,189,2025-02-03
7418890,Khanewal,Punjab,30.37339,72.06096,146,2025-02-03
7418965,Khushab,Punjab,32.18259,72.111,185,2025-02-03
1172449,Lahore,Punjab,31.48627,74.3979,218,2025-02-03
7418967,Layyah,Punjab,30.968,70.943,147,2022-04-01
7418846,Lodhran,Punjab,29.68691,71.6902,117,2025-02-03
7418963,Mandi Bahauddin,Punjab,32.44206,73.46183,214,2025-02-04
1170424,Mianwali,Punjab,32.70126,71.51325,199,2025-02-03
1169821,Multan,Punjab,29.93312,71.38607,116,2025-02-03
1169603,Muzaffargarh,Punjab,30.03739,71.05876,116,2025-02-03
7419159,Nankana Sahib,Punjab,31.48198,73.69882,192,2025-02-04
7418968,Narowal,Punjab,32.21114,74.95318,247,2025-02-03
7418888,Okara,Punjab,30.70939,73.68882,175,2025-02-03
7418850,Pakpattan,Punjab,30.30098,73.26013,161,2025-02-03
1167458,Rahimyar Khan,Punjab,28.4602,70.52837,81,2025-02-03
8309731,Rajanpur,Punjab,29.15928,70.15183,108,2025-02-03
1166991,Rawalpindi,Punjab,33.42987,73.23092,562,2025-02-03
1166545,Sahiwal,Punjab,30.54824,72.91365,167,2025-02-02
1165999,Sargodha,Punjab,32.08958,72.71974,188,2025-02-02
1165218,Shekhupura,Punjab,31.70969,74.1382,207,2025-02-02
1164908,Sialkot,Punjab,32.44333,74.56817,247,2025-02-02
7331706,Toba Tek Singh,Punjab,30.92857,72.53692,160,2025-02-04
10344547,Vehari,Punjab,30.04194,72.35278,142,2025-02-03
1184051,Badin,Sindh,24.72437,68.87457,9,2025-02-02
1180802,Dadu,Sindh,26.87326,67.50895,57,2025-02-03
7418822,Ghotki,Sindh,27.81569,69.65807,73,2025-02-02
1176733,Hyderabad,Sindh,25.43244,68.48421,22,2025-02-02
1176514,Jacobabad,Sindh,28.2221,68.4902,58,2025-02-03
7419156,Jamshoro,Sindh,25.74112,67.81364,232,2025-02-02
11744831,Karachi Central,Sindh,24.95531,67.07147,40,2025-02-03
11744832,Karachi East,Sindh,24.9238,67.12322,50,2025-02-03
11744833,Karachi South,Sindh,24.82426,67.03311,7,2025-02-03
9035095,Kashmore,Sindh,28.44107,69.58354,75,2025-02-03
1174349,Khairpur,Sindh,26.83477,69.06444,63,2025-02-02
11744835,Korangi,Sindh,24.85545,67.16728,14,2025-02-03
1172127,Larkana,Sindh,27.52111,68.19208,51,2025-02-02
11744837,Malir,Sindh,25.14593,67.31375,187,2019-12-10
7419157,Matiari,Sindh,25.87582,68.41338,28,2025-02-03
1376894,Mirpur Khas,Sindh,25.5508,69.00307,16,2025-02-02
7352189,Naushahro Firoz,Sindh,26.8756,68.12067,46,2025-02-03
1169115,Nawabshah,Sindh,26.36655,68.31772,32,2025-02-03
9034783,Qamber Shahdadkot,Sindh,27.58917,68.0,55,2025-02-03
1166162,Sanghar,Sindh,25.97964,69.29361,14,2025-02-02
1165106,Shikarpur,Sindh,27.95321,68.60919,64,2025-02-02
10300608,Sujawal,Sindh,24.60639,68.07194,12,2025-02-02
1164407,Sukkur,Sindh,27.49959,69.14697,56,2025-02-03
9625763,Tando Allahyar,Sindh,25.46,68.72,25,2025-02-03
9625902,Tando Mohammad Khan,Sindh,25.01667,68.48333,14,2025-02-03
1163602,Thar Parkar,Sindh,24.82085,70.18002,69,2025-02-03
1163570,Thatta,Sindh,24.49026,67.92284,8,2025-02-02
9072726,Umerkot,Sindh,25.37,69.73,8,2025-02-02
12105033,West Karachi,Sindh,24.90847,66.86663,23,2019-12-03
